site_id,url,page_type,citation_outcome_class,http_index_controls,crawler_role_robots_policy,raw_rendered_key_fact_parity,crawlable_links,structured_data_validity,answer_completeness,entity_ambiguity,freshness_version_signals,external_contradictions,measured_performance_source,referral_continuity_result,auditor_finding_ids,human_ground_truth
airtable-com,https://airtable.com,saas,,,,,,,,,,,,,ACC-SITEMAP-ORPHAN:medium;ANS-PASSAGE-INCOMPLETE:medium;REF-ANSWER-NOT-CONFIRMED:medium;REP-TABLE-SEMANTICS:medium [0/0/4/0] opps=1 ne=10 complete,checker caught worker misquote; finding unaffected
beam-cloud,https://beam.cloud,saas,,,,,,,,,,,,,REF-ANSWER-NOT-CONFIRMED:medium;ACC-SITEMAP-ORPHAN:low;ANS-QUALIFIER-DETACHED:low [0/0/1/2] opps=1 ne=9 complete,slowest post-fix run (11min quote-verification); assert-before-write invented here
canva-com,https://canva.com,saas,,,,,,,,,,,,,ACC-NOARCHIVE-COPILOT:high;REP-NON-TEXT-LOCKIN:high;ACC-HREFLANG-INCONSISTENT:medium;ACC-SITEMAP-INVALID:medium;REP-STATE-ONLY-FACT:medium [0/2/3/0] opps=0 ne=18 complete,"bot-wall homepage (Unsupported client); answer restraint absolute (0 passages, 0 findings, 0 opps)"
loom-com,https://loom.com,saas,,,,,,,,,,,,,ANS-PASSAGE-INCOMPLETE:medium;ENT-CORROBORATION-ABSENT:medium;REP-STATE-ONLY-FACT:medium;REP-TABLE-SEMANTICS:medium;ACC-SITEMAP-ORPHAN:low;REF-FRAGMENT-UNSURVIVABLE:low [0/0/4/2] opps=1 ne=9 complete,"slowest post-fix deliberation (~10min), confessed re-derivation"
nike-com,https://nike.com,ecommerce,,,,,,,,,,,,,ACC-BOT-CHALLENGE:high;ANS-PASSAGE-INCOMPLETE:medium;REF-ANSWER-NOT-CONFIRMED:medium;REP-STATE-ONLY-FACT:medium;ACC-SITEMAP-ORPHAN:low;FRS-LASTMOD-UNIFORM:low [0/1/3/2] opps=2 ne=9 complete,BOT-CHALLENGE high; first non-zero counter (self-fixed shape error)
stripe-com,https://stripe.com,saas,,,,,,,,,,,,,ACC-HREFLANG-INCONSISTENT:medium;FRS-CLAIM-CONFLICT:medium;REF-ANSWER-NOT-CONFIRMED:medium;REP-STATE-ONLY-FACT:medium;ACC-SITEMAP-ORPHAN:low [0/0/4/1] opps=1 ne=10 complete,heading-run branch + 160-vs-195 conflict with uncertainty stated
tradingview-com,https://tradingview.com,saas,,,,,,,,,,,,,ACC-HREFLANG-INCONSISTENT:medium;ANS-COMPARISON-UNREADABLE:medium;REF-FRAGMENT-UNSURVIVABLE:medium;REP-TABLE-SEMANTICS:medium;ACC-SITEMAP-ORPHAN:low [0/0/4/1] opps=1 ne=7 complete,paired-cite triple working as designed
allbirds-com,https://allbirds.com,ecommerce,,,,,,,,,,,,,ACC-HREFLANG-INCONSISTENT:medium;ENT-JSONLD-INVALID:medium;REP-TABLE-SEMANTICS:medium;ACC-SITEMAP-ORPHAN:low [0/0/3/1] opps=2 ne=9 complete,"JSONLD @type-less rating blocks TP from snapshot forensics (medium, correctly held)"
gov-uk,https://gov.uk,gov-edu,,,,,,,,,,,,,REP-TABLE-SEMANTICS:medium;ACC-SITEMAP-ORPHAN:low;REF-FRAGMENT-UNSURVIVABLE:low [0/0/1/2] opps=0 ne=9 complete,sweep/audit-worker reported; not hand-verified
linear-app,https://linear.app,saas,,,,,,,,,,,,,REF-SOFT-404:high;REF-ANSWER-NOT-CONFIRMED:medium;REF-FRAGMENT-UNSURVIVABLE:medium;ACC-SITEMAP-ORPHAN:low [0/1/2/1] opps=1 ne=8 complete,"SOFT-404 TP confirmed 3 independent 200s; corpus annotated, bar redefined to no-unexplained-highs"
nextjs-org,https://nextjs.org,docs-developer,,,,,,,,,,,,,REF-ANSWER-NOT-CONFIRMED:medium;ACC-SITEMAP-ORPHAN:low;REF-FRAGMENT-UNSURVIVABLE:low [0/0/1/2] opps=2 ne=7 complete,sweep/audit-worker reported; not hand-verified
wikipedia-org,https://wikipedia.org,publisher,,,,,,,,,,,,, [0/0/0/0] opps=0 ne=12 complete,clean restraint (0 findings twice)
